max_t,steps,delta,graph_order,actual_energy,estimated_energy
1.0,49,0.02040816326530612,2,0.0,0.5000000000000002
1.0,24,0.04081632653061224,2,0.0,0.49999999999999994
1.0,16,0.061224489795918366,2,0.0,0.49999999999999994
1.0,12,0.08163265306122448,2,0.0,0.5000000000000001
1.0,9,0.1020408163265306,2,0.0,0.5000000000000001
1.0,8,0.12244897959183673,2,0.0,0.49999999999999994
1.0,7,0.14285714285714285,2,0.0,0.49999999999999994
1.0,6,0.16326530612244897,2,0.0,0.49999999999999994
1.0,5,0.18367346938775508,2,0.0,0.49999999999999994
1.0,4,0.2040816326530612,2,0.0,0.5000000000000001
1.0,4,0.22448979591836732,2,0.0,0.5000000000000001
1.0,4,0.24489795918367346,2,0.0,0.5000000000000001
1.0,3,0.26530612244897955,2,0.0,0.5000000000000002
1.0,3,0.2857142857142857,2,0.0,0.5000000000000002
1.0,3,0.3061224489795918,2,0.0,0.5000000000000002
1.0,3,0.32653061224489793,2,0.0,0.5000000000000002
1.0,2,0.3469387755102041,2,0.0,0.49999999999999994
1.0,2,0.36734693877551017,2,0.0,0.49999999999999994
1.0,2,0.3877551020408163,2,0.0,0.49999999999999994
1.0,2,0.4081632653061224,2,0.0,0.49999999999999994
1.0,2,0.42857142857142855,2,0.0,0.49999999999999994
1.0,2,0.44897959183673464,2,0.0,0.49999999999999994
1.0,2,0.4693877551020408,2,0.0,0.49999999999999994
1.0,2,0.4897959183673469,2,0.0,0.49999999999999994
1.0,1,0.5102040816326531,2,0.0,0.49999999999999994
1.0,1,0.5306122448979591,2,0.0,0.49999999999999994
1.0,1,0.5510204081632653,2,0.0,0.49999999999999994
1.0,1,0.5714285714285714,2,0.0,0.49999999999999994
1.0,1,0.5918367346938775,2,0.0,0.49999999999999994
1.0,1,0.6122448979591836,2,0.0,0.49999999999999994
1.0,1,0.6326530612244897,2,0.0,0.49999999999999994
1.0,1,0.6530612244897959,2,0.0,0.49999999999999994
1.0,1,0.673469387755102,2,0.0,0.49999999999999994
1.0,1,0.6938775510204082,2,0.0,0.49999999999999994
1.0,1,0.7142857142857142,2,0.0,0.49999999999999994
1.0,1,0.7346938775510203,2,0.0,0.49999999999999994
1.0,1,0.7551020408163265,2,0.0,0.49999999999999994
1.0,1,0.7755102040816326,2,0.0,0.49999999999999994
1.0,1,0.7959183673469387,2,0.0,0.49999999999999994
1.0,1,0.8163265306122448,2,0.0,0.49999999999999994
1.0,1,0.836734693877551,2,0.0,0.49999999999999994
1.0,1,0.8571428571428571,2,0.0,0.49999999999999994
1.0,1,0.8775510204081632,2,0.0,0.49999999999999994
1.0,1,0.8979591836734693,2,0.0,0.49999999999999994
1.0,1,0.9183673469387754,2,0.0,0.49999999999999994
1.0,1,0.9387755102040816,2,0.0,0.49999999999999994
1.0,1,0.9591836734693877,2,0.0,0.49999999999999994
1.0,1,0.9795918367346939,2,0.0,0.49999999999999994
1.0,1,1.0,2,0.0,0.5000000000000002
2.0,98,0.02040816326530612,2,0.0,0.49999999999999994
2.0,49,0.04081632653061224,2,0.0,0.5000000000000001
2.0,32,0.061224489795918366,2,0.0,0.4999999999999999
2.0,24,0.08163265306122448,2,0.0,0.49999999999999994
2.0,19,0.1020408163265306,2,0.0,0.5000000000000001
2.0,16,0.12244897959183673,2,0.0,0.4999999999999999
2.0,14,0.14285714285714285,2,0.0,0.49999999999999994
2.0,12,0.16326530612244897,2,0.0,0.5000000000000002
2.0,10,0.18367346938775508,2,0.0,0.49999999999999994
2.0,9,0.2040816326530612,2,0.0,0.49999999999999994
2.0,8,0.22448979591836732,2,0.0,0.5000000000000001
2.0,8,0.24489795918367346,2,0.0,0.5000000000000001
2.0,7,0.26530612244897955,2,0.0,0.49999999999999994
2.0,7,0.2857142857142857,2,0.0,0.5000000000000001
2.0,6,0.3061224489795918,2,0.0,0.5000000000000001
2.0,6,0.32653061224489793,2,0.0,0.5000000000000001
2.0,5,0.3469387755102041,2,0.0,0.5000000000000001
2.0,5,0.36734693877551017,2,0.0,0.5000000000000001
2.0,5,0.3877551020408163,2,0.0,0.5000000000000001
2.0,4,0.4081632653061224,2,0.0,0.49999999999999994
2.0,4,0.42857142857142855,2,0.0,0.49999999999999994
2.0,4,0.44897959183673464,2,0.0,0.49999999999999994
2.0,4,0.4693877551020408,2,0.0,0.49999999999999994
2.0,4,0.4897959183673469,2,0.0,0.49999999999999994
2.0,3,0.5102040816326531,2,0.0,0.5000000000000001
2.0,3,0.5306122448979591,2,0.0,0.5000000000000001
2.0,3,0.5510204081632653,2,0.0,0.5000000000000001
2.0,3,0.5714285714285714,2,0.0,0.5000000000000001
2.0,3,0.5918367346938775,2,0.0,0.5000000000000001
2.0,3,0.6122448979591836,2,0.0,0.5000000000000001
2.0,3,0.6326530612244897,2,0.0,0.5000000000000001
2.0,3,0.6530612244897959,2,0.0,0.5000000000000001
2.0,2,0.673469387755102,2,0.0,0.5000000000000001
2.0,2,0.6938775510204082,2,0.0,0.5000000000000001
2.0,2,0.7142857142857142,2,0.0,0.5000000000000001
2.0,2,0.7346938775510203,2,0.0,0.5000000000000001
2.0,2,0.7551020408163265,2,0.0,0.5000000000000001
2.0,2,0.7755102040816326,2,0.0,0.5000000000000001
2.0,2,0.7959183673469387,2,0.0,0.5000000000000001
2.0,2,0.8163265306122448,2,0.0,0.5000000000000001
2.0,2,0.836734693877551,2,0.0,0.5000000000000001
2.0,2,0.8571428571428571,2,0.0,0.5000000000000001
2.0,2,0.8775510204081632,2,0.0,0.5000000000000001
2.0,2,0.8979591836734693,2,0.0,0.5000000000000001
2.0,2,0.9183673469387754,2,0.0,0.5000000000000001
2.0,2,0.9387755102040816,2,0.0,0.5000000000000001
2.0,2,0.9591836734693877,2,0.0,0.5000000000000001
2.0,2,0.9795918367346939,2,0.0,0.5000000000000001
2.0,2,1.0,2,0.0,0.49999999999999994
3.0,147,0.02040816326530612,2,0.0,0.4999999999999999
3.0,73,0.04081632653061224,2,0.0,0.5000000000000001
3.0,49,0.061224489795918366,2,0.0,0.5000000000000002
3.0,36,0.08163265306122448,2,0.0,0.4999999999999999
3.0,29,0.1020408163265306,2,0.0,0.49999999999999994
3.0,24,0.12244897959183673,2,0.0,0.49999999999999994
3.0,21,0.14285714285714285,2,0.0,0.4999999999999999
3.0,18,0.16326530612244897,2,0.0,0.5000000000000001
3.0,16,0.18367346938775508,2,0.0,0.5000000000000001
3.0,14,0.2040816326530612,2,0.0,0.49999999999999994
3.0,13,0.22448979591836732,2,0.0,0.5000000000000001
3.0,12,0.24489795918367346,2,0.0,0.5000000000000001
3.0,11,0.26530612244897955,2,0.0,0.5000000000000001
3.0,10,0.2857142857142857,2,0.0,0.49999999999999994
3.0,9,0.3061224489795918,2,0.0,0.49999999999999994
3.0,9,0.32653061224489793,2,0.0,0.49999999999999994
3.0,8,0.3469387755102041,2,0.0,0.4999999999999999
3.0,8,0.36734693877551017,2,0.0,0.4999999999999999
3.0,7,0.3877551020408163,2,0.0,0.49999999999999994
